X,y
5.000000000000000000e+00,1.307954630056269423e+02
5.066889632107023367e+00,2.010952174190086623e+02
5.133779264214046734e+00,1.711333679339837772e+02
5.200668896321070100e+00,1.585679311418853672e+02
5.267558528428093467e+00,6.788618043850866002e+01
5.334448160535116834e+00,7.980048244387640466e+01
5.401337792642140201e+00,1.786573799480847526e+02
5.468227424749163568e+00,8.051574758607063131e+01
5.535117056856186935e+00,1.604638560663755982e+02
5.602006688963210301e+00,2.391981322379475614e+02
5.668896321070233668e+00,1.764617961685169689e+02
5.735785953177257923e+00,1.542558731186990997e+02
5.802675585284280402e+00,2.086802614913145248e+02
5.869565217391304657e+00,2.065653008326531790e+02
5.936454849498328024e+00,2.320790953193633754e+02
6.003344481605351390e+00,2.293662162654723886e+02
6.070234113712374757e+00,9.565578908944647196e+01
6.137123745819398124e+00,2.612690185172921247e+02
6.204013377926421491e+00,1.813303102907856328e+02
6.270903010033444858e+00,1.139392547813804413e+02
6.337792642140468224e+00,2.576253050046247495e+02
6.404682274247491591e+00,2.033976647698371210e+02
6.471571906354514958e+00,2.209761290719317799e+02
6.538461538461538325e+00,1.738931787443237909e+02
6.605351170568561692e+00,2.048622776908937340e+02
6.672240802675585059e+00,2.801834106711992831e+02
6.739130434782608425e+00,2.854745583800794293e+02
6.806020066889631792e+00,3.636622632149249625e+02
6.872909698996655159e+00,2.136120720516744882e+02
6.939799331103678526e+00,2.175785669683695289e+02
7.006688963210702781e+00,2.326063629322509883e+02
7.073578595317725259e+00,2.964988876629807919e+02
7.140468227424749514e+00,1.136556110390711467e+02
7.207357859531771993e+00,2.644019742678653415e+02
7.274247491638796248e+00,4.087139684370383748e+02
7.341137123745818727e+00,3.272055543183709005e+02
7.408026755852842982e+00,2.388576784725738662e+02
7.474916387959865460e+00,2.764301486160171635e+02
7.541806020066889715e+00,3.918079578116441439e+02
7.608695652173913082e+00,2.572072795427658889e+02
7.675585284280936449e+00,3.057355177672228592e+02
7.742474916387959816e+00,4.091113607987904288e+02
7.809364548494983183e+00,3.059013715057790250e+02
7.876254180602006549e+00,3.153574295897051343e+02
7.943143812709029916e+00,2.991027764011536192e+02
8.010033444816052395e+00,2.884974959922620883e+02
8.076923076923076650e+00,3.181840928889357656e+02
8.143812709030100905e+00,3.186262116986322894e+02
8.210702341137123383e+00,2.602732814729787378e+02
8.277591973244147638e+00,3.377003273508744314e+02
8.344481605351170117e+00,3.783742799181235910e+02
8.411371237458194372e+00,3.693831660450892969e+02
8.478260869565216851e+00,1.829622583238249831e+02
8.545150501672241106e+00,2.334148128069960251e+02
8.612040133779263584e+00,3.445787544888971183e+02
8.678929765886287839e+00,4.976353491592197429e+02
8.745819397993310318e+00,2.945997521939420380e+02
8.812709030100334573e+00,4.362821206703258099e+02
8.879598662207357052e+00,3.426107443352114501e+02
8.946488294314381307e+00,3.494713212982401274e+02
9.013377926421405562e+00,3.604718540636903299e+02
9.080267558528428040e+00,2.805041856013396000e+02
9.147157190635450519e+00,3.904571307662582740e+02
9.214046822742474774e+00,4.041253168602017354e+02
9.280936454849499029e+00,2.361981386779218894e+02
9.347826086956521507e+00,3.203603446621924604e+02
9.414715719063543986e+00,5.260117195990465007e+02
9.481605351170568241e+00,4.607456052893356286e+02
9.548494983277592496e+00,4.172131801191814588e+02
9.615384615384614975e+00,4.129736141116800923e+02
9.682274247491637453e+00,3.889462262443869349e+02
9.749163879598661708e+00,3.957803032535785519e+02
9.816053511705685963e+00,4.187118020686863815e+02
9.882943143812708442e+00,4.387888005578194566e+02
9.949832775919730921e+00,3.887376566975624428e+02
1.001672240802675518e+01,3.972181620878722015e+02
1.008361204013377943e+01,3.830819588799157032e+02
1.015050167224080369e+01,4.902333683291067246e+02
1.021739130434782616e+01,4.031318697523111041e+02
1.028428093645484864e+01,4.037996637048531170e+02
1.035117056856187290e+01,4.959256728874914870e+02
1.041806020066889715e+01,3.250654301863365845e+02
1.048494983277591963e+01,3.795019841628623567e+02
1.055183946488294211e+01,3.584848351650623499e+02
1.061872909698996637e+01,4.281425474323295930e+02
1.068561872909699062e+01,3.465943208813095566e+02
1.075250836120401310e+01,3.970960240645985095e+02
1.081939799331103558e+01,3.075707242818963891e+02
1.088628762541805983e+01,3.865948771912148914e+02
1.095317725752508409e+01,4.291396291597590107e+02
1.102006688963210657e+01,4.994368929197384546e+02
1.108695652173912904e+01,4.095240297252468054e+02
1.115384615384615330e+01,4.212291429383111563e+02
1.122073578595317755e+01,5.741598233088327561e+02
1.128762541806020003e+01,3.562840619838875114e+02
1.135451505016722251e+01,3.431679738644168083e+02
1.142140468227424677e+01,4.530631631354846149e+02
1.148829431438127102e+01,5.231697843174182481e+02
1.155518394648829528e+01,5.993251359050407245e+02
1.162207357859531776e+01,3.252683257472471610e+02
1.168896321070234023e+01,5.246699504594492964e+02
1.175585284280936449e+01,4.568268585213651818e+02
1.182274247491638874e+01,5.111225160795027023e+02
1.188963210702341122e+01,3.869774587034244178e+02
1.195652173913043370e+01,4.989083580028054143e+02
1.202341137123745796e+01,3.091436095017467665e+02
1.209030100334448221e+01,5.563944810958761309e+02
1.215719063545150469e+01,4.516701589021395193e+02
1.222408026755852717e+01,6.505262720873975013e+02
1.229096989966555142e+01,3.069936803758517954e+02
1.235785953177257568e+01,2.403964272731787446e+02
1.242474916387959816e+01,4.217701915280252933e+02
1.249163879598662064e+01,5.388812154965928585e+02
1.255852842809364489e+01,4.237518702726548554e+02
1.262541806020066915e+01,3.305630861189941925e+02
1.269230769230769162e+01,3.411898697401697973e+02
1.275919732441471410e+01,4.342556623074113986e+02
1.282608695652173836e+01,3.622071692101378062e+02
1.289297658862876261e+01,3.214879894193513792e+02
1.295986622073578687e+01,4.901427097935971915e+02
1.302675585284280935e+01,6.070342984464786014e+02
1.309364548494983183e+01,4.555365489381765087e+02
1.316053511705685608e+01,4.479208644920085476e+02
1.322742474916387856e+01,5.419360345379718638e+02
1.329431438127090281e+01,4.995372774464449890e+02
1.336120401337792529e+01,5.519726011101776066e+02
1.342809364548494955e+01,5.117792231144833863e+02
1.349498327759197203e+01,4.426551804289011329e+02
1.356187290969899628e+01,3.580923773938816339e+02
1.362876254180602054e+01,5.633259224499355469e+02
1.369565217391304301e+01,2.584946893775883154e+02
1.376254180602006727e+01,4.482271081366335466e+02
1.382943143812708975e+01,4.997919818918979331e+02
1.389632107023411400e+01,4.494615250477428390e+02
1.396321070234113648e+01,5.030821949917264533e+02
1.403010033444816074e+01,5.002822604595939993e+02
1.409698996655518322e+01,4.850097361159741354e+02
1.416387959866220747e+01,3.565639268913060960e+02
1.423076923076922995e+01,5.172491277628026864e+02
1.429765886287625420e+01,2.966775823487501498e+02
1.436454849498327668e+01,4.842773322143283394e+02
1.443143812709030094e+01,4.462771077442079104e+02
1.449832775919732342e+01,4.031816951180288697e+02
1.456521739130434767e+01,4.468878195724555553e+02
1.463210702341137015e+01,3.707483322373333294e+02
1.469899665551839441e+01,4.283311316501613533e+02
1.476588628762541688e+01,5.944798018018988159e+02
1.483277591973244114e+01,5.001776332132302514e+02
1.489966555183946362e+01,3.901762094054182057e+02
1.496655518394648787e+01,3.711241892539700302e+02
1.503344481605351213e+01,4.284621290301125782e+02
1.510033444816053461e+01,3.599400180139802501e+02
1.516722408026755886e+01,4.359341899667456346e+02
1.523411371237458134e+01,4.209543211055041638e+02
1.530100334448160559e+01,4.961607383199742571e+02
1.536789297658862807e+01,4.760424081393067581e+02
1.543478260869565233e+01,4.397876942329974099e+02
1.550167224080267481e+01,5.886327760730127920e+02
1.556856187290969906e+01,4.735358994622746422e+02
1.563545150501672154e+01,4.317008984220894376e+02
1.570234113712374580e+01,3.975600494855290776e+02
1.576923076923076827e+01,3.575671236860193289e+02
1.583612040133779253e+01,4.867361566558726054e+02
1.590301003344481501e+01,3.864859377998022865e+02
1.596989966555183926e+01,4.182534615324129845e+02
1.603678929765886352e+01,3.498007048673957229e+02
1.610367892976588422e+01,4.286883031131512780e+02
1.617056856187290848e+01,3.945090957196694035e+02
1.623745819397993273e+01,4.908962840567031662e+02
1.630434782608695343e+01,3.316377560009948411e+02
1.637123745819398124e+01,4.354939811376004286e+02
1.643812709030100194e+01,3.968498689078959387e+02
1.650501672240802620e+01,4.496533306794904661e+02
1.657190635451505045e+01,3.938361690124478400e+02
1.663879598662207115e+01,3.983895256101376958e+02
1.670568561872909896e+01,3.740909137708702588e+02
1.677257525083611966e+01,4.839484689564393989e+02
1.683946488294314392e+01,3.824517938358561082e+02
1.690635451505016817e+01,3.723346451426126009e+02
1.697324414715718888e+01,3.794351369243312320e+02
1.704013377926421313e+01,2.873029992378555448e+02
1.710702341137123739e+01,4.451777176662178590e+02
1.717391304347825809e+01,3.546245105287363231e+02
1.724080267558528590e+01,4.986401692813572026e+02
1.730769230769230660e+01,3.801943841958794792e+02
1.737458193979933085e+01,3.843257101722264792e+02
1.744147157190635511e+01,3.605918693617332451e+02
1.750836120401337581e+01,2.552165435682632335e+02
1.757525083612040007e+01,3.035024705272579695e+02
1.764214046822742432e+01,4.097357139197516176e+02
1.770903010033444502e+01,3.895995078524030077e+02
1.777591973244147283e+01,3.495566269347041839e+02
1.784280936454849353e+01,3.352368193184984762e+02
1.790969899665551779e+01,3.061790105797020942e+02
1.797658862876254204e+01,4.124462401935956564e+02
1.804347826086956275e+01,3.713813766249074320e+02
1.811036789297659055e+01,3.225076046014388567e+02
1.817725752508361126e+01,3.805858136638350970e+02
1.824414715719063551e+01,3.795713716568800464e+02
1.831103678929765977e+01,4.468925937703792783e+02
1.837792642140468047e+01,3.406313487761967735e+02
1.844481605351170472e+01,3.271199031988778643e+02
1.851170568561872898e+01,4.005234100714010310e+02
1.857859531772574968e+01,3.150432262725059900e+02
1.864548494983277749e+01,3.483492802788775862e+02
1.871237458193979819e+01,3.406445171520806525e+02
1.877926421404682245e+01,3.014670281850318361e+02
1.884615384615384670e+01,3.690326110738378702e+02
1.891304347826086740e+01,3.701016300190080415e+02
1.897993311036789166e+01,3.704793279936524755e+02
1.904682274247491591e+01,4.127224802747236367e+02
1.911371237458193661e+01,3.976363631363174136e+02
1.918060200668896442e+01,4.418868817057243064e+02
1.924749163879598512e+01,4.044577518352309653e+02
1.931438127090300938e+01,3.399621969094408769e+02
1.938127090301003363e+01,3.614614534483099533e+02
1.944816053511705434e+01,3.586665020621745725e+02
1.951505016722408214e+01,2.895265730259593511e+02
1.958193979933110285e+01,2.918448435285082496e+02
1.964882943143812710e+01,4.573713236486120763e+02
1.971571906354515136e+01,2.242964291786787783e+02
1.978260869565217206e+01,3.404977659118716247e+02
1.984949832775919631e+01,3.279853035778837693e+02
1.991638795986622057e+01,4.894820048669489552e+02
1.998327759197324127e+01,3.781828903218863616e+02
2.005016722408026908e+01,3.952833747025240427e+02
2.011705685618728978e+01,3.556521748036061012e+02
2.018394648829431404e+01,3.640203227595774251e+02
2.025083612040133829e+01,2.587157266775757876e+02
2.031772575250835899e+01,4.178578362682206375e+02
2.038461538461538325e+01,3.985742676160531346e+02
2.045150501672240750e+01,3.423073771946145598e+02
2.051839464882942821e+01,3.319217824432778343e+02
2.058528428093645601e+01,2.568338730542793655e+02
2.065217391304347672e+01,3.443954258622331963e+02
2.071906354515050097e+01,3.033307969554409169e+02
2.078595317725752523e+01,3.378868103788404369e+02
2.085284280936454593e+01,4.220305395200103362e+02
2.091973244147157374e+01,3.430184481475221219e+02
2.098662207357859444e+01,4.312613954226457622e+02
2.105351170568561869e+01,4.052911710271615107e+02
2.112040133779264295e+01,3.226752315860066460e+02
2.118729096989966365e+01,2.924277657856473525e+02
2.125418060200668791e+01,3.499546577880124119e+02
2.132107023411371216e+01,4.092228982913226787e+02
2.138795986622073642e+01,5.395874592350937746e+02
2.145484949832775712e+01,5.648514494414770297e+02
2.152173913043478137e+01,3.130115613085612267e+02
2.158862876254180563e+01,3.697656257505668691e+02
2.165551839464882988e+01,4.215590036573261727e+02
2.172240802675585059e+01,3.590125860325061922e+02
2.178929765886287484e+01,4.021844026930437508e+02
2.185618729096989910e+01,4.744236753704414582e+02
2.192307692307692335e+01,3.332214588095412751e+02
2.198996655518394405e+01,3.786163762357672340e+02
2.205685618729096831e+01,4.407257842098890137e+02
2.212374581939799256e+01,4.419226119484393962e+02
2.219063545150501682e+01,3.756680027823529144e+02
2.225752508361204107e+01,5.128890591860352970e+02
2.232441471571906177e+01,4.113788759201748348e+02
2.239130434782608603e+01,3.130825921847697373e+02
2.245819397993311028e+01,4.574874867496332627e+02
2.252508361204013454e+01,4.165134597622254660e+02
2.259197324414715524e+01,3.556444006088484571e+02
2.265886287625417950e+01,4.547463048970703881e+02
2.272575250836120375e+01,4.388271701738004253e+02
2.279264214046822801e+01,4.807296136897454630e+02
2.285953177257524871e+01,5.189510229805017616e+02
2.292642140468227296e+01,5.316949961246422163e+02
2.299331103678929722e+01,6.187241932765479078e+02
2.306020066889632147e+01,6.315172599051818452e+02
2.312709030100334218e+01,4.804564923912445238e+02
2.319397993311036643e+01,5.207081434717784987e+02
2.326086956521739069e+01,5.697083670176110672e+02
2.332775919732441494e+01,4.619019073560747302e+02
2.339464882943143564e+01,4.928313084581790235e+02
2.346153846153845990e+01,5.260015772063305803e+02
2.352842809364548415e+01,6.494766459257176621e+02
2.359531772575250841e+01,6.473185632976432089e+02
2.366220735785953266e+01,5.784198397918351020e+02
2.372909698996655337e+01,6.400375953722671056e+02
2.379598662207357762e+01,5.946516091997098101e+02
2.386287625418060188e+01,5.353574469220745868e+02
2.392976588628762613e+01,4.360079733646230125e+02
2.399665551839464683e+01,5.726410796682514501e+02
2.406354515050167109e+01,7.036035644075695927e+02
2.413043478260869534e+01,7.673708636853273219e+02
2.419732441471571960e+01,5.510798521737713145e+02
2.426421404682274030e+01,6.997212074159567692e+02
2.433110367892976456e+01,6.917065084341513739e+02
2.439799331103678881e+01,6.999736585480434314e+02
2.446488294314381307e+01,6.545380458006211484e+02
2.453177257525083377e+01,6.532673089496577177e+02
2.459866220735785802e+01,7.310804992214731328e+02
2.466555183946488228e+01,7.172974870087157342e+02
2.473244147157190653e+01,7.079360664819027988e+02
2.479933110367892724e+01,5.581075934663394946e+02
2.486622073578595149e+01,6.865863888133162618e+02
2.493311036789297575e+01,7.852563161144748847e+02
2.500000000000000000e+01,6.853068345725658901e+02
