INDUS,RM,PRICE
2.31,6.575,24.0
7.07,6.421,21.6
7.07,7.185,34.7
2.18,6.998,33.4
2.18,7.147,36.2
2.18,6.43,28.7
7.87,6.012,22.9
7.87,6.172,27.1
7.87,5.631,16.5
7.87,6.004,18.9
7.87,6.377,15.0
7.87,6.009,18.9
7.87,5.889,21.7
8.14,5.949,20.4
8.14,6.096,18.2
8.14,5.834,19.9
8.14,5.935,23.1
8.14,5.99,17.5
8.14,5.456,20.2
8.14,5.727,18.2
8.14,5.57,13.6
8.14,5.965,19.6
8.14,6.142,15.2
8.14,5.813,14.5
8.14,5.924,15.6
8.14,5.599,13.9
8.14,5.813,16.6
8.14,6.047,14.8
8.14,6.495,18.4
8.14,6.674,21.0
8.14,5.713,12.7
8.14,6.072,14.5
8.14,5.95,13.2
8.14,5.701,13.1
8.14,6.096,13.5
5.96,5.933,18.9
5.96,5.841,20.0
5.96,5.85,21.0
5.96,5.966,24.7
2.95,6.595,30.8
2.95,7.024,34.9
6.91,6.77,26.6
6.91,6.169,25.3
6.91,6.211,24.7
6.91,6.069,21.2
6.91,5.682,19.3
6.91,5.786,20.0
6.91,6.03,16.6
6.91,5.399,14.4
6.91,5.602,19.4
5.64,5.963,19.7
5.64,6.115,20.5
5.64,6.511,25.0
5.64,5.998,23.4
4.0,5.888,18.9
1.22,7.249,35.4
0.74,6.383,24.7
1.32,6.816,31.6
5.13,6.145,23.3
5.13,5.927,19.6
5.13,5.741,18.7
5.13,5.966,16.0
5.13,6.456,22.2
5.13,6.762,25.0
1.38,7.104,33.0
3.37,6.29,23.5
3.37,5.787,19.4
6.07,5.878,22.0
6.07,5.594,17.4
6.07,5.885,20.9
10.81,6.417,24.2
10.81,5.961,21.7
10.81,6.065,22.8
10.81,6.245,23.4
12.83,6.273,24.1
12.83,6.286,21.4
12.83,6.279,20.0
12.83,6.14,20.8
12.83,6.232,21.2
12.83,5.874,20.3
4.86,6.727,28.0
4.86,6.619,23.9
4.86,6.302,24.8
4.86,6.167,22.9
4.49,6.389,23.9
4.49,6.63,26.6
4.49,6.015,22.5
4.49,6.121,22.2
3.41,7.007,23.6
3.41,7.079,28.7
3.41,6.417,22.6
3.41,6.405,22.0
15.04,6.442,22.9
15.04,6.211,25.0
15.04,6.249,20.6
2.89,6.625,28.4
2.89,6.163,21.4
2.89,8.069,38.7
2.89,7.82,43.8
2.89,7.416,33.2
8.56,6.727,27.5
8.56,6.781,26.5
8.56,6.405,18.6
8.56,6.137,19.3
8.56,6.167,20.1
8.56,5.851,19.5
8.56,5.836,19.5
8.56,6.127,20.4
8.56,6.474,19.8
8.56,6.229,19.4
8.56,6.195,21.7
10.01,6.715,22.8
10.01,5.913,18.8
10.01,6.092,18.7
10.01,6.254,18.5
10.01,5.928,18.3
10.01,6.176,21.2
10.01,6.021,19.2
10.01,5.872,20.4
10.01,5.731,19.3
25.65,5.87,22.0
25.65,6.004,20.3
25.65,5.961,20.5
25.65,5.856,17.3
25.65,5.879,18.8
25.65,5.986,21.4
25.65,5.613,15.7
21.89,5.693,16.2
21.89,6.431,18.0
21.89,5.637,14.3
21.89,6.458,19.2
21.89,6.326,19.6
21.89,6.372,23.0
21.89,5.822,18.4
21.89,5.757,15.6
21.89,6.335,18.1
21.89,5.942,17.4
21.89,6.454,17.1
21.89,5.857,13.3
21.89,6.151,17.8
21.89,6.174,14.0
21.89,5.019,14.4
19.58,5.403,13.4
19.58,5.468,15.6
19.58,4.903,11.8
19.58,6.13,13.8
19.58,5.628,15.6
19.58,4.926,14.6
19.58,5.186,17.8
19.58,5.597,15.4
19.58,6.122,21.5
19.58,5.404,19.6
19.58,5.012,15.3
19.58,5.709,19.4
19.58,6.129,17.0
19.58,6.152,15.6
19.58,5.272,13.1
19.58,6.943,41.3
19.58,6.066,24.3
19.58,6.51,23.3
19.58,6.25,27.0
19.58,7.489,50.0
19.58,7.802,50.0
19.58,8.375,50.0
19.58,5.854,22.7
19.58,6.101,25.0
19.58,7.929,50.0
19.58,5.877,23.8
19.58,6.319,23.8
19.58,6.402,22.3
19.58,5.875,17.4
19.58,5.88,19.1
4.05,5.572,23.1
4.05,6.416,23.6
4.05,5.859,22.6
4.05,6.546,29.4
4.05,6.02,23.2
4.05,6.315,24.6
4.05,6.86,29.9
2.46,6.98,37.2
2.46,7.765,39.8
2.46,6.144,36.2
2.46,7.155,37.9
2.46,6.563,32.5
2.46,5.604,26.4
2.46,6.153,29.6
2.46,7.831,50.0
3.44,6.782,32.0
3.44,6.556,29.8
3.44,7.185,34.9
3.44,6.951,37.0
3.44,6.739,30.5
3.44,7.178,36.4
2.93,6.8,31.1
2.93,6.604,29.1
0.46,7.875,50.0
1.52,7.287,33.3
1.52,7.107,30.3
1.52,7.274,34.6
1.47,6.975,34.9
1.47,7.135,32.9
2.03,6.162,24.1
2.03,7.61,42.3
2.68,7.853,48.5
2.68,8.034,50.0
10.59,5.891,22.6
10.59,6.326,24.4
10.59,5.783,22.5
10.59,6.064,24.4
10.59,5.344,20.0
10.59,5.96,21.7
10.59,5.404,19.3
10.59,5.807,22.4
10.59,6.375,28.1
10.59,5.412,23.7
10.59,6.182,25.0
13.89,5.888,23.3
13.89,6.642,28.7
13.89,5.951,21.5
13.89,6.373,23.0
6.2,6.951,26.7
6.2,6.164,21.7
6.2,6.879,27.5
6.2,6.618,30.1
6.2,8.266,44.8
6.2,8.725,50.0
6.2,8.04,37.6
6.2,7.163,31.6
6.2,7.686,46.7
6.2,6.552,31.5
6.2,5.981,24.3
6.2,7.412,31.7
6.2,8.337,41.7
6.2,8.247,48.3
6.2,6.726,29.0
6.2,6.086,24.0
6.2,6.631,25.1
6.2,7.358,31.5
4.93,6.481,23.7
4.93,6.606,23.3
4.93,6.897,22.0
4.93,6.095,20.1
4.93,6.358,22.2
4.93,6.393,23.7
5.86,5.593,17.6
5.86,5.605,18.5
5.86,6.108,24.3
5.86,6.226,20.5
5.86,6.433,24.5
5.86,6.718,26.2
5.86,6.487,24.4
5.86,6.438,24.8
5.86,6.957,29.6
5.86,8.259,42.8
3.64,6.108,21.9
3.64,5.876,20.9
3.75,7.454,44.0
3.97,8.704,50.0
3.97,7.333,36.0
3.97,6.842,30.1
3.97,7.203,33.8
3.97,7.52,43.1
3.97,8.398,48.8
3.97,7.327,31.0
3.97,7.206,36.5
3.97,5.56,22.8
3.97,7.014,30.7
3.97,8.297,50.0
3.97,7.47,43.5
6.96,5.92,20.7
6.96,5.856,21.1
6.96,6.24,25.2
6.96,6.538,24.4
6.96,7.691,35.2
6.41,6.758,32.4
6.41,6.854,32.0
6.41,7.267,33.2
6.41,6.826,33.1
6.41,6.482,29.1
3.33,6.812,35.1
3.33,7.82,45.4
3.33,6.968,35.4
3.33,7.645,46.0
1.21,7.923,50.0
2.97,7.088,32.2
2.25,6.453,22.0
1.76,6.23,20.1
5.32,6.209,23.2
5.32,6.315,22.3
5.32,6.565,24.8
4.95,6.861,28.5
4.95,7.148,37.3
4.95,6.63,27.9
13.92,6.127,23.9
13.92,6.009,21.7
13.92,6.678,28.6
13.92,6.549,27.1
13.92,5.79,20.3
2.24,6.345,22.5
2.24,7.041,29.0
2.24,6.871,24.8
6.09,6.59,22.0
6.09,6.495,26.4
6.09,6.982,33.1
2.18,7.236,36.1
2.18,6.616,28.4
2.18,7.42,33.4
2.18,6.849,28.2
9.9,6.635,22.8
9.9,5.972,20.3
9.9,4.973,16.1
9.9,6.122,22.1
9.9,6.023,19.4
9.9,6.266,21.6
9.9,6.567,23.8
9.9,5.705,16.2
9.9,5.914,17.8
9.9,5.782,19.8
9.9,6.382,23.1
9.9,6.113,21.0
7.38,6.426,23.8
7.38,6.376,23.1
7.38,6.041,20.4
7.38,5.708,18.5
7.38,6.415,25.0
7.38,6.431,24.6
7.38,6.312,23.0
7.38,6.083,22.2
3.24,5.868,19.3
3.24,6.333,22.6
3.24,6.144,19.8
6.06,5.706,17.1
6.06,6.031,19.4
5.19,6.316,22.2
5.19,6.31,20.7
5.19,6.037,21.1
5.19,5.869,19.5
5.19,5.895,18.5
5.19,6.059,20.6
5.19,5.985,19.0
5.19,5.968,18.7
1.52,7.241,32.7
1.89,6.54,16.5
3.78,6.696,23.9
3.78,6.874,31.2
4.39,6.014,17.5
4.39,5.898,17.2
4.15,6.516,23.1
2.01,6.635,24.5
1.25,6.939,26.6
1.25,6.49,22.9
1.69,6.579,24.1
1.69,5.884,18.6
2.02,6.728,30.1
1.91,5.663,18.2
1.91,5.936,20.6
18.1,6.212,17.8
18.1,6.395,21.7
18.1,6.127,22.7
18.1,6.112,22.6
18.1,6.398,25.0
18.1,6.251,19.9
18.1,5.362,20.8
18.1,5.803,16.8
18.1,8.78,21.9
18.1,3.561,27.5
18.1,4.963,21.9
18.1,3.863,23.1
18.1,4.97,50.0
18.1,6.683,50.0
18.1,7.016,50.0
18.1,6.216,50.0
18.1,5.875,50.0
18.1,4.906,13.8
18.1,4.138,13.8
18.1,7.313,15.0
18.1,6.649,13.9
18.1,6.794,13.3
18.1,6.38,13.1
18.1,6.223,10.2
18.1,6.968,10.4
18.1,6.545,10.9
18.1,5.536,11.3
18.1,5.52,12.3
18.1,4.368,8.8
18.1,5.277,7.2
18.1,4.652,10.5
18.1,5.0,7.4
18.1,4.88,10.2
18.1,5.39,11.5
18.1,5.713,15.1
18.1,6.051,23.2
18.1,5.036,9.7
18.1,6.193,13.8
18.1,5.887,12.7
18.1,6.471,13.1
18.1,6.405,12.5
18.1,5.747,8.5
18.1,5.453,5.0
18.1,5.852,6.3
18.1,5.987,5.6
18.1,6.343,7.2
18.1,6.404,12.1
18.1,5.349,8.3
18.1,5.531,8.5
18.1,5.683,5.0
18.1,4.138,11.9
18.1,5.608,27.9
18.1,5.617,17.2
18.1,6.852,27.5
18.1,5.757,15.0
18.1,6.657,17.2
18.1,4.628,17.9
18.1,5.155,16.3
18.1,4.519,7.0
18.1,6.434,7.2
18.1,6.782,7.5
18.1,5.304,10.4
18.1,5.957,8.8
18.1,6.824,8.4
18.1,6.411,16.7
18.1,6.006,14.2
18.1,5.648,20.8
18.1,6.103,13.4
18.1,5.565,11.7
18.1,5.896,8.3
18.1,5.837,10.2
18.1,6.202,10.9
18.1,6.193,11.0
18.1,6.38,9.5
18.1,6.348,14.5
18.1,6.833,14.1
18.1,6.425,16.1
18.1,6.436,14.3
18.1,6.208,11.7
18.1,6.629,13.4
18.1,6.461,9.6
18.1,6.152,8.7
18.1,5.935,8.4
18.1,5.627,12.8
18.1,5.818,10.5
18.1,6.406,17.1
18.1,6.219,18.4
18.1,6.485,15.4
18.1,5.854,10.8
18.1,6.459,11.8
18.1,6.341,14.9
18.1,6.251,12.6
18.1,6.185,14.1
18.1,6.417,13.0
18.1,6.749,13.4
18.1,6.655,15.2
18.1,6.297,16.1
18.1,7.393,17.8
18.1,6.728,14.9
18.1,6.525,14.1
18.1,5.976,12.7
18.1,5.936,13.5
18.1,6.301,14.9
18.1,6.081,20.0
18.1,6.701,16.4
18.1,6.376,17.7
18.1,6.317,19.5
18.1,6.513,20.2
18.1,6.209,21.4
18.1,5.759,19.9
18.1,5.952,19.0
18.1,6.003,19.1
18.1,5.926,19.1
18.1,5.713,20.1
18.1,6.167,19.9
18.1,6.229,19.6
18.1,6.437,23.2
18.1,6.98,29.8
18.1,5.427,13.8
18.1,6.162,13.3
18.1,6.484,16.7
18.1,5.304,12.0
18.1,6.185,14.6
18.1,6.229,21.4
18.1,6.242,23.0
18.1,6.75,23.7
18.1,7.061,25.0
18.1,5.762,21.8
18.1,5.871,20.6
18.1,6.312,21.2
18.1,6.114,19.1
18.1,5.905,20.6
27.74,5.454,15.2
27.74,5.414,7.0
27.74,5.093,8.1
27.74,5.983,13.6
27.74,5.983,20.1
9.69,5.707,21.8
9.69,5.926,24.5
9.69,5.67,23.1
9.69,5.39,19.7
9.69,5.794,18.3
9.69,6.019,21.2
9.69,5.569,17.5
9.69,6.027,16.8
11.93,6.593,22.4
11.93,6.12,20.6
11.93,6.976,23.9
11.93,6.794,22.0
11.93,6.03,11.9
